x,y
1008,1091
132,916
1921,528
1700,513
1044,81
790,496
265,194
464,1916
1260,434
1611,797
697,340
113,179
1500,1232
1280,569
1854,209
474,1242
1699,189
152,1656
189,1455
1417,405
674,1762
1083,1385
590,3
960,375
925,564
889,226
585,747
1319,119
1151,1484
118,1601
486,1398
1330,774
1070,1697
304,134
1239,492
141,833
1819,828
1108,1665
59,70
39,15
527,571
1868,57
191,823
189,1017
291,580
276,957
784,1001
1553,561
1199,1649
415,883
1534,964
1834,270
1072,243
800,627
835,1952
711,708
679,370
136,1574
1014,1761
635,1100
78,666
292,528
1315,148
795,1423
604,519
1286,1468
1273,1434
478,1630
82,447
1121,143
1197,566
636,1428
831,948
1079,1238
173,1808
148,924
1317,825
348,945
250,484
1589,1572
908,1029
1833,665
1888,397
409,1321
1037,1668
868,1174
646,1920
697,566
550,211
1300,64
1402,156
1962,611
1152,1452
47,445
1274,1192
1982,838
1099,207
702,962
801,1005
290,907
1250,1024
1246,1027
1194,1156
812,1297
591,447
304,441
975,897
1031,661
287,1262
758,367
231,743
621,1905
1411,1551
898,693
592,1849
384,11
1854,1774
335,1018
1619,710
751,195
1357,1551
1962,1508
1171,241
559,260
1141,887
181,1060
601,1559
1294,553
1062,187
73,1802
1205,1139
620,1657
1907,589
116,934
1910,590
1154,260
215,279
1330,850
1660,47
283,820
427,841
1985,642
1198,1908
472,519
497,1901
329,1531
70,1496
1794,1795
1281,70
1814,1151
1813,814
1854,1521
333,281
1810,95
666,1578
951,281
1002,532
1467,924
709,1572
503,435
1488,867
255,109
24,152
1602,1716
550,243
1745,399
151,1643
218,330
916,1713
729,1094
1068,155
1551,1003
6,1205
1563,1446
1619,1312
429,404
334,82
1454,488
421,440
1690,664
117,1313
593,192
772,1128
1195,1225
1132,940
1208,1402
1304,1428
1816,1855
375,189
286,982
108,1364
881,1478
892,803
462,996
683,675
1615,923
1739,561
42,1248
1438,1554
953,1263
1672,278
451,321
1682,1405
363,210
1315,1781
819,1467
272,1389
566,339
1492,639
109,276
1345,621
321,1164
1070,883
1897,1360
209,1116
1747,253
299,1710
1607,1025
1918,1521
1624,1352
57,256
1717,1329
1440,1119
924,406
344,1597
1740,1552
1379,1254
818,979
765,1711
890,1445
1929,235
199,1155
1723,1563
828,1087
1038,584
1912,744
670,720
450,208
969,1656
1231,1709
675,260
860,1781
1334,243
784,1797
1513,1988
223,1525
148,195
1824,10
1732,1215
553,1181
1169,1569
741,272
1962,1764
808,1955
1959,516
1487,615
1858,1879
1713,680
1016,480
821,539
1917,1803
518,156
1276,1695
1268,894
1320,1680
367,496
150,478
1890,1755
1069,1151
548,673
663,1456
1040,1611
233,1548
452,158
34,829
1590,1627
1917,1687
415,1968
1826,874
981,230
1534,1368
349,1626
1510,793
378,1804
1208,1089
1835,416
1950,526
1065,1075
462,1540
1806,980
490,425
717,224
1256,1367
794,1560
1075,1579
676,1727
1920,476
777,20
1665,1344
1593,454
1536,1451
1654,1158
797,688
1196,1205
140,272
728,154
384,1349
840,678
297,1994
1337,169
1155,1462
1439,1462
943,960
599,499
1568,1292
195,1761
293,1875
1754,1263
1763,124
1024,1960
1331,850
1262,1515
887,140
593,421
1928,791
1814,139
1703,478
473,686
1739,1047
365,552
1469,678
1762,671
266,661
455,1000
51,1689
1695,774
1591,955
1054,1463
433,212
545,1878
1646,746
1696,1733
1106,924
632,1791
1158,1380
1467,1725
1178,1543
607,473
388,1431
233,210
531,746
643,229
279,615
1181,1685
0,1929
1043,1870
758,481
235,420
1811,1598
790,863
388,373
1453,1296
1820,1527
1350,314
423,613
234,67
1841,997
1328,64
1828,1854
840,1625
1075,1932
1357,1486
1093,1839
548,571
1108,1120
1607,291
53,1506
756,1511
1571,324
16,1371
1874,1073
1453,430
1303,1370
990,1440
1048,1702
1559,855
909,1415
277,965
1356,518
1034,292
1446,822
1629,537
634,320
1190,1821
1660,1164
1329,507
1713,1758
12,397
488,753
1498,1509
1197,1943
1400,838
1140,1798
1131,589
653,789
122,694
412,746
40,433
919,208
1715,1849
1832,1079
297,1932
1239,1934
1856,55
218,1986
700,1582
1960,1625
58,42
111,1406
312,58
892,190
312,1152
856,1486
310,1704
1954,399
1085,1567
73,1449
1885,1192
1336,1099
1638,1418
48,1629
1290,944
1763,1028
1646,237
384,682
1447,1650
363,445
1821,1508
1845,438
1904,1608
1827,104
1904,1273
50,1067
741,295
1953,1283
1303,1049
1290,1191
920,1468
85,1716
673,1955
1941,109
1854,975
594,72
989,0
1579,1747
696,60
1737,621
648,251
1869,1350
699,270
611,724
544,1038
1936,606
1367,1920
1338,432
1485,1923
186,1386
692,997
1636,943
652,387
1554,702
1425,317
679,171
328,1092
1884,1164
1179,1943
279,900
155,1684
687,1176
1238,1302
1810,265
1022,1338
681,944
346,120
643,588
917,1724
1121,1087
1461,1412
1995,1295
1796,401
152,1247
390,1374
761,1714
1563,1589
956,1738
785,431
359,1401
1650,1507
79,391
382,645
684,228
999,746
1053,1250
1792,1669
17,976
1427,310
1809,572
23,1788
275,1126
1498,1173
212,1517
742,1060
1805,118
210,892
880,997
1383,1574
463,1184
1837,1635
1970,579
2,1118
178,476
321,1826
896,860
1130,336
1197,1386
819,867
795,1725
286,421
669,1125
216,1231
1465,590
1001,237
1977,404
1602,1343
260,740
744,1471
1653,1823
239,751
1358,1227
602,575
1215,1511
1798,1936
1029,1753
193,1582
1127,75
290,1496
1486,1480
393,1909
1416,1697
1238,1713
320,1041
225,495
1291,486
1981,640
625,1362
805,1908
521,1711
685,229
598,1162
699,1976
1546,1821
1096,305
1835,1019
78,341
1566,136
1192,1539
831,1425
255,747
463,159
1275,1329
480,1550
1378,1915
1188,417
150,472
213,1317
304,1709
1594,238
935,1581
1210,180
1454,1394
1557,1884
497,1958
896,1807
1866,964
1631,579
48,1486
66,1639
1966,1690
1374,1912
1903,117
1182,444
1736,674
894,1283
1189,1421
164,6
633,216
287,1263
755,660
1417,1124
350,1487
865,567
26,1852
1953,1265
1885,1118
866,964
1803,439
1526,782
1289,1204
1345,1098
1238,1129
1629,1868
539,253
1345,325
252,169
268,1379
1664,68
1640,790
636,454
25,1179
1288,1200
494,1135
169,1184
1449,1858
736,1535
848,1868
1569,140
1975,1424
1942,1279
649,651
1449,501
821,695
218,179
1949,1311
1259,1073
979,202
1039,875
1697,1932
1250,870
1545,1799
1682,288
1675,362
1552,1110
77,984
199,1070
920,1222
1884,1059
1735,110
599,1308
559,1707
646,1525
1077,1591
243,1248
282,1120
387,539
968,540
126,1363
1017,1723
1384,496
1188,1578
1421,698
1290,1582
1232,943
1314,1185
112,1580
1507,1512
152,832
669,763
274,1725
19,1182
1253,1036
616,566
1444,1820
740,1994
1263,1009
334,43
349,456
1713,1840
33,1481
424,322
1160,512
1802,1178
797,676
425,432
1478,113
1785,1994
1660,167
928,1016
1442,508
1763,1240
1861,430
199,701
393,642
1922,1789
199,248
437,444
1392,973
1941,1270
831,701
1738,1193
782,1414
1917,576
1535,22
14,1545
1122,1324
822,963
279,107
1956,943
463,1537
1020,1878
1968,791
1755,74
589,678
333,1930
185,543
205,998
76,932
210,217
1501,1655
1566,236
591,245
1675,1029
60,740
1061,1313
364,1299
1057,624
266,1442
1710,1654
1740,1648
592,974
1282,341
1448,1752
646,113
715,381
1139,575
1013,350
257,1646
881,270
105,421
1446,1357
836,793
35,1700
611,363
1438,872
1741,1854
524,779
1710,55
1005,149
551,388
908,980
1153,180
1368,275
1578,1649
276,1975
1649,319
64,727
57,1895
1434,1986
390,141
92,907
57,293
972,221
1296,1679
160,948
1910,460
79,760
664,577
1609,927
385,823
1056,738
1861,1848
695,1691
707,1340
1619,1441
1174,682
1555,493
267,629
1128,1152
451,1723
1744,120
799,148
956,818
828,784
908,1080
1549,651
638,624
1493,1429
387,1352
612,1415
1281,1669
1210,1178
1763,102
33,222
333,1230
1748,986
746,483
544,152
1255,61
1715,638
487,427
1935,570
870,412
1856,1293
1205,1171
614,846
686,1495
296,1687
1565,1910
1655,1348
1957,829
833,941
961,1530
878,1401
1529,1492
946,999
384,181
430,71
1349,340
1018,1666
298,1909
410,49
181,547
181,1438
229,134
1889,1409
1113,87
479,868
1303,205
243,1962
1106,366
1507,1172
829,370
42,1468
1208,685
1977,594
1871,853
1360,1700
647,360
1282,1949
1165,543
1534,1288
70,1595
1009,1055
188,1175
1688,749
61,1531
1623,1779
1932,1074
158,560
1984,259
865,1728
1540,1594
779,1999
100,74
40,687
1450,1151
991,1904
876,602
722,1301
926,134
239,299
809,581
1131,1647
513,1610
1161,336
1734,642
826,609
1921,853
1576,764
326,793
1997,1396
1145,1587
608,160
107,907
1654,804
239,1423
159,1747
135,622
1602,1746
1655,292
1619,1837
127,850
919,1821
1899,569
1513,1408
1022,209
1480,176
1804,407
1664,888
1383,432
1462,823
33,1545
544,533
1268,1362
1464,275
641,794
1944,815
1167,91
1727,1562
1974,1363
1612,1383
996,733
594,1980
46,1291
1990,1777
1356,1645
1189,1428
1772,875
1520,185
622,16
1552,109
1200,1512
1627,621
1349,815
141,390
1070,1256
1075,560
141,17
78,1070
1754,1593
1373,1496
203,315
552,1605
354,1688
543,1794
57,1118
1942,797
298,1968
1718,122
493,1081
799,583
816,1498
929,1901
1348,87
725,565
752,175
775,1115
665,1493
703,1658
1029,483
430,1363
497,207
11,311
1394,127
1019,1894
1577,1551
200,1409
1918,1859
1212,71
621,146
1981,1160
817,432
1944,1696
597,1735
886,1683
1580,62
505,1744
989,840
1025,43
1573,270
1558,1455
896,549
103,780
643,780
549,692
645,628
1146,1740
802,267
33,642
1348,587
1877,1739
325,272
403,30
886,555
266,249
1658,449
233,1945
1992,1932
1247,670
593,579
1270,249
50,400
389,1276
276,1277
239,610
1105,1496
1563,1072
343,1890
1832,416
649,919
1422,1348
844,696
1081,1986
464,1211
1942,849
627,425
607,1739
634,1129
1625,178
756,60
1287,1971
987,456
1227,178
1925,934
163,480
1840,106
553,1863
424,1498
973,1051
207,86
866,1091
1284,692
1815,83
659,1391
315,648
122,1180
547,1704
1023,697
1229,1271
1758,757
708,468
313,624
1335,1010
1620,109
487,1378
1915,727
83,1973
1208,1079
299,875
718,1770
1078,27
1200,734
698,1466
461,957
949,796
987,861
1801,1700
1750,527
543,192
147,1714
580,1768
1129,1495
1914,1009
210,1271
1803,481
1082,1075
1078,633
311,152
1448,499
1891,127
251,192
118,1578
489,185
1049,1509
880,1570
1709,1051
1366,403
59,1135
776,1400
1728,1300
1678,1429
1251,1136
420,1864
808,1875
420,292
1657,1227
1580,246
1261,248
1488,1999
1931,510
116,72
35,385
810,1906
1119,555
1594,78
607,1439
1771,897
123,1323
1200,1259
1327,894
1934,808
1758,854
1102,375
1196,1137
1449,870
997,501
1152,1725
1415,614
178,1951
424,1008
1579,791
157,59
726,1297
1558,1736
1818,1041
1773,728
1368,1595
1736,1245
1895,212
555,1196
148,1064
1864,2
1971,1230
659,422
1543,1616
1981,147
181,1206
10,189
996,219
1935,1441
256,625
181,77
1423,275
1247,16
108,185
19,915
1997,299
1542,843
1660,614
365,1727
148,1054
242,1471
1994,140
1296,959
570,174
59,1757
783,259
1773,1018
489,173
1471,483
1154,527
621,1427
834,1915
1758,1565
1341,1006
892,1815
1126,469
869,447
1846,1587
1236,1448
105,1618
1069,910
1244,1733
479,124
467,1879
351,513
1448,598
1355,1735
1343,1038
887,1146
1050,397
39,327
1612,1065
784,757
721,730
594,631
374,1608
708,1880
1615,1967
369,308
468,1945
1253,277
1144,118
1300,1610
697,752
1033,348
1405,502
1920,404
941,841
392,793
1219,239
1517,439
464,1322
1936,1692
607,506
1497,681
177,1760
862,841
1937,235
610,461
531,911
1047,372
1932,1103
1867,1302
149,632
82,478
265,210
1959,1811
251,288
903,1854
24,925
3,1362
797,1730
397,686
826,1765
1310,493
1948,455
1822,259
352,357
306,1452
822,1423
1877,1328
10,14
461,815
606,62
234,1491
161,980
946,829
1379,65
210,1860
1161,684
1928,830
1820,863
170,1429
1172,967
1461,1000
429,11
522,1064
1923,1306
306,1533
1430,445
424,1529
680,316
1551,1148
608,1495
954,360
1394,1054
254,1067
686,551
349,1798
557,539
1660,1245
1043,1338
482,634
1963,1581
1443,1824
714,973
891,1540
852,1002
178,667
1407,487
1646,1862
